MM74C00,Up,Down
1.33431,4.7654,4.7654
1.3392,4.76051,4.7654
1.34409,4.7654,4.7654
1.34897,4.76051,4.7654
1.35386,4.7654,4.76051
1.35875,4.76051,4.7654
1.36364,4.76051,4.76051
1.36852,4.76051,4.76051
1.37341,4.76051,4.76051
1.3783,4.76051,4.76051
1.38319,4.76051,4.76051
1.38807,4.76051,4.76051
1.39296,4.76051,4.76051
1.39785,4.76051,4.76051
1.40274,4.76051,4.76051
1.40762,4.76051,4.76051
1.41251,4.76051,4.76051
1.4174,4.75562,4.76051
1.42229,4.75562,4.75562
1.42717,4.75562,4.76051
1.43206,4.75562,4.75562
1.43695,4.75562,4.75562
1.44184,4.75562,4.75562
1.44673,4.75562,4.75562
1.45161,4.75562,4.75562
1.4565,4.75562,4.75562
1.46139,4.75562,4.75562
1.46628,4.75562,4.75562
1.47116,4.75073,4.75562
1.47605,4.75073,4.75562
1.48094,4.75073,4.75073
1.48583,4.75073,4.75073
1.49071,4.75073,4.75073
1.4956,4.75073,4.75073
1.50049,4.75073,4.75073
1.50538,4.75073,4.75073
1.51026,4.75073,4.75073
1.51515,4.75073,4.75073
1.52004,4.74585,4.75073
1.52493,4.74585,4.75073
1.52981,4.74585,4.75073
1.5347,4.74585,4.74585
1.53959,4.74585,4.74585
1.54448,4.74585,4.74585
1.54936,4.74585,4.74585
1.55425,4.74585,4.74585
1.55914,4.74096,4.74585
1.56403,4.74096,4.74585
1.56891,4.74096,4.74585
1.5738,4.74096,4.74585
1.57869,4.74096,4.74096
1.58358,4.74096,4.74096
1.58847,4.74096,4.74096
1.59335,4.74096,4.74096
1.59824,4.74096,4.74096
1.60313,4.74096,4.74096
1.60802,4.74096,4.74096
1.6129,4.73607,4.74096
1.61779,4.73607,4.74096
1.62268,4.73607,4.74096
1.62757,4.73607,4.73607
1.63245,4.73607,4.73607
1.63734,4.73607,4.73607
1.64223,4.73607,4.73607
1.64712,4.73607,4.73607
1.652,4.73118,4.73607
1.65689,4.73607,4.73607
1.66178,4.73118,4.73118
1.66667,4.73118,4.73607
1.67155,4.73118,4.73118
1.67644,4.73118,4.73118
1.68133,4.73118,4.73118
1.68622,4.73118,4.73118
1.6911,4.73118,4.73118
1.69599,4.7263,4.73118
1.70088,4.7263,4.7263
1.70577,4.7263,4.7263
1.71065,4.7263,4.7263
1.71554,4.7263,4.7263
1.72043,4.7263,4.7263
1.72532,4.7263,4.7263
1.73021,4.72141,4.7263
1.73509,4.72141,4.72141
1.73998,4.72141,4.72141
1.74487,4.72141,4.72141
1.74976,4.72141,4.72141
1.75464,4.72141,4.72141
1.75953,4.71652,4.72141
1.76442,4.71652,4.71652
1.76931,4.71652,4.71652
1.77419,4.71652,4.71652
1.77908,4.71652,4.71652
1.78397,4.71652,4.71652
1.78886,4.71652,4.71652
1.79374,4.71163,4.71163
1.79863,4.71163,4.71163
1.80352,4.71163,4.71163
1.80841,4.71163,4.71163
1.81329,4.70674,4.71163
1.81818,4.70674,4.70674
1.82307,4.70674,4.70674
1.82796,4.70674,4.70674
1.83284,4.70674,4.70674
1.83773,4.70186,4.70674
1.84262,4.70186,4.70186
1.84751,4.70186,4.70186
1.85239,4.70186,4.70186
