K155LA3,Up,Down
1.50538,0.0488759,0.0488759
1.51026,0.0488759,0.0488759
1.51515,0.0537634,0.0488759
1.52004,0.0488759,0.0537634
1.52493,0.0488759,0.0488759
1.52981,0.0488759,0.0537634
1.5347,0.0537634,0.0488759
1.53959,0.0537634,0.0488759
1.54448,0.0537634,0.0488759
1.54936,0.0537634,0.0537634
1.55425,0.0537634,0.0488759
1.55914,0.0537634,0.0537634
1.56403,0.0537634,0.0537634
1.56891,0.0537634,0.0537634
1.5738,0.0537634,0.0488759
1.57869,0.0537634,0.0488759
1.58358,0.0537634,0.0488759
1.58847,0.0537634,0.0537634
1.59335,0.0537634,0.0488759
1.59824,0.0537634,0.0488759
1.60313,0.0537634,0.0537634
1.60802,0.0537634,0.0488759
1.6129,0.0488759,0.0488759
1.61779,0.0537634,0.0537634
1.62268,0.0537634,0.0537634
1.62757,0.0537634,0.0537634
1.63245,0.0537634,0.0537634
1.63734,0.0537634,0.0488759
1.64223,0.0488759,0.0537634
1.64712,0.0537634,0.0537634
1.652,0.0537634,0.0488759
1.65689,0.0537634,0.0537634
1.66178,0.0537634,0.0537634
1.66667,0.0537634,0.0488759
1.67155,0.0537634,0.0488759
1.67644,0.0537634,0.0537634
1.68133,0.0537634,0.0488759
1.68622,0.0537634,0.0488759
1.6911,0.0537634,0.0488759
1.69599,0.0537634,0.0488759
1.70088,0.0537634,0.0488759
1.70577,0.0488759,0.0537634
1.71065,0.0488759,0.0537634
1.71554,0.0488759,0.0488759
1.72043,0.0537634,0.0537634
1.72532,0.0537634,0.0537634
1.73021,0.0537634,0.0537634
1.73509,0.0537634,0.0488759
1.73998,0.0537634,0.0488759
1.74487,0.0537634,0.0537634
1.74976,0.0537634,0.0488759
1.75464,0.0537634,0.0488759
1.75953,0.0537634,0.0488759
1.76442,0.0537634,0.0537634
1.76931,0.0537634,0.0537634
1.77419,0.0537634,0.0537634
1.77908,0.0537634,0.0537634
1.78397,0.0537634,0.0537634
1.78886,0.0537634,0.0488759
1.79374,0.0537634,0.0537634
1.79863,0.0488759,0.0488759
1.80352,0.0537634,0.0537634
1.80841,0.0537634,0.0488759
1.81329,0.0488759,0.0488759
1.81818,0.0537634,0.0537634
1.82307,0.0537634,0.0488759
1.82796,0.0537634,0.0537634
1.83284,0.0537634,0.0488759
1.83773,0.0537634,0.0488759
1.84262,0.0537634,0.0537634
1.84751,0.0537634,0.0488759
1.85239,0.0537634,0.0488759
1.85728,0.0537634,0.0488759
1.86217,0.0537634,0.0488759
1.86706,0.0488759,0.0488759
1.87195,0.0537634,0.0537634
1.87683,0.0537634,0.0537634
1.88172,0.0537634,0.0537634
1.88661,0.0537634,0.0488759
1.8915,0.0537634,0.0537634
1.89638,0.0537634,0.0537634
1.90127,0.0537634,0.0537634
1.90616,0.0537634,0.0488759
1.91105,0.0537634,0.0537634
1.91593,0.0537634,0.0537634
1.92082,0.0537634,0.0488759
1.92571,0.0537634,0.0488759
1.9306,0.0537634,0.0488759
1.93548,0.0537634,0.0488759
1.94037,0.0537634,0.0537634
1.94526,0.0537634,0.0488759
1.95015,0.0537634,0.0537634
1.95503,0.0537634,0.0537634
1.95992,0.0537634,0.0488759
1.96481,0.0537634,0.0488759
1.9697,0.0537634,0.0488759
1.97458,0.0537634,0.0537634
1.97947,0.0537634,0.0488759
1.98436,0.0537634,0.0488759
1.98925,0.0537634,0.0488759
1.99413,0.0537634,0.0488759
1.99902,0.0537634,0.0488759
2.00391,0.0537634,0.0488759
2.0088,0.0488759,0.0537634
2.01369,0.0537634,0.0488759
2.01857,0.0537634,0.0488759
2.02346,0.0537634,0.0537634
2.02835,0.0537634,0.0537634
2.03324,0.0537634,0.0488759
2.03812,0.0537634,0.0488759
2.04301,0.0488759,0.0488759
2.0479,0.0537634,0.0537634
2.05279,0.0537634,0.0488759
2.05767,0.0537634,0.0488759
2.06256,0.0537634,0.0488759
2.06745,0.0537634,0.0488759
2.07234,0.0537634,0.0488759
2.07722,0.0537634,0.0488759
2.08211,0.0537634,0.0537634
2.087,0.0537634,0.0537634
2.09189,0.0537634,0.0537634
2.09677,0.0537634,0.0488759
2.10166,0.0537634,0.0537634
2.10655,0.0537634,0.0488759
